case,case,descript
stcatherines,locke,"In what way, if any, is Locke's theory about possession as the basis of property relevant to the courts' reasons in St. Catherine's Milling? "
syliboy,wildlife,"What is the relationship between the treaty rights of a Mi'kmaw hunter and provincial legislation that regulates hunting wildlife? Are treaty rights about ""ownership"" of wild animals or something different?"
syliboy,terra-nullius,The idea that Anglo-Canadian law is paramount plays a key role in the Court's reasoning. How is this connected to the doctrine of terra nullius?
syliboy,netukulimk,Can you envision an alternative approach to resolving this case that refers to or relies on the concept of Netukulimk? How might this reasoning work?
abandonment,clift,The concept of abandonment--both in general and with respect to wild animals--is discussed as some length in this case. 
victoria-city,waterloo,"Starting with the Region of Waterloo case, a couplet of recent decisions from Ontario have reviewed the evolving jurisprudence in BC since Adams. What aspects of the doctrine established in Adams are expanding and/or being challenged in these Ontario cases?"
victoriapark,liberalism,What features of the classical style are apparent in each of the judgments in Victoria Park? How do the underlying assumptions of the style drive the disagreements between the judges?
walker,basic-estates,This short excerpt will give you a better understand of the basic concepts at play in the Walker case. 
walker,blackburn,"Both Walker and Blackburn address the idea of ""restraints on alienation"". Are such restraints ever allowed, and if so, when? "
heegsma,waterloo,Blank
basic-estates,walker,Can you identify one or more of the different interests described in the current excerpt in Re Walker? 
basic-estates,blackburn,How does the testamentary bequest in Blackburn constructed using the interests described in this excerpt? 
basic-estates,tenure,Recall the underlying structure and rationale for the common law doctrine of estates.
battiste,henderson,How does Professor Henderson's interpretation of the 1752 Treaty open the way for application of Netukulimk and other Mi'kmaw legal concepts?
tenure,stcatherines,The feudal concepts of land tenure and estates in land set the stage for the courts' approaches to Indigenous land rights in the St. Catherine's Milling case. How do these feudal concepts relate to the idea of beneficial title described by some of the judges? 
terra-nullius,syliboy,"While not mentioned by name, the doctrine of terra nullius looms large in the Syliboy case. How is it significant for the court's reasoning? "
trusts-intro,duthie,What exactly do the obligations of a trustee look like? To whom are those obligations owed? 
trusts-intro,iwasaki,"In this case, the claimant argues that orders in council passed pursuant to the War Measures Act created a trust and that the federal appointees responsible for the property of Japanese-Canadians acted in breach of that trust. "
trusts-intro,adams-stangerross,"The authors in this excerpt argue that the concept of a ""trust"" should have been applied to analyze the federal government's treatment of Japanese Canadians' property. How might the different components of a trust be mapped onto this context?"
water-rights,mclaren,These basic concepts around the riparian rights of landowners play a central role in the McLaren v Caldwell case. 
adams-stangerross,iwasaki,The conclusion put forward here by Adams and Stranger-Ross regarding the role of trusts in the dispossession of Japanese Canadians is rejected by the court in Iwasaki. Why? 
house-debates,rivers-and-streams-act,This excerpt from the Parliamentary debates concerns the question of whether or not to disallow the provincial Rivers and Streams Act passed by Ontario in 1881. 
constitution-act-s35,delgamuukw,The modern framework for Aboriginal title claims under section 35 was established by the Supreme Court in Delgamuukw. 
constitution-act-s35,tsilhqotin,"In Tsilhqot'in, the Supreme Court continued to develop the framework established in Delgamuukw, resulting in the first successful claim in an Anglo-Canadian court. "
conveyancing-act,wills-act,How do the rules of interpretation in the Wills Act and the Conveyancing Act differ? Do these difference matter?
expropriation-act,mclaren,"The McLaren v Caldwell saga took place before the advent of modern expropriation acts like this on in Nova Scotia. In the absence of a statute requiring compensation for expropriation, how did the parties and the courts' in the McLaren case address this issue?"
expropriation-act,mariner,"The Mariner case was the first contemporary appeals court decision that attempted to interpret Nova Scotia's Expropriation Act in a case of de facto expropriation. In doing so, the Court establishes a framework for analysis. What is the legal ""test"" for de facto expropriation that emerges from the case and how does this motivated by the modern style?"
fafnlma,indian-act,
indian-act,stcatherines,How do these provisions of the federal Indian Act reflect the concepts of beneficial title and underlying or radical title discussed in St. Catherine's Milling? 
indian-act,guerin,The Supreme Court in Guerin elaborates the fiduciary relationship between Indigenous peoples and the Crown. What are the implications of this relationship for reserve lands?
indian-act,fafnlma,Which aspects of this legislation are supplanted for First Nations under the Framework Agreement on First Nations Land Management Act?
planning-act,cappy,How do we know if some change to an existing non-conforming use causes the owner to lose the protections afforded by the doctrine of acquired rights? 
protection-property,harrison,"What is the relevance of ""possession"" in the Protection of Property Act? Does the Act tell us what this means? Does the decision in Harrison v Carswell?"
rivers-and-streams,house-debates,"After Ontario passed this legislation in 1881, the issue came before the federal parliament as to whether it should 'disallow' the statue. Consider these excerpts from the parliamentary debates (Hansard) between opposing political parties for what they tell us about how this statute and the McLaren case relate to the issue of expropriation."
royal-proclamation,tenure,To what extent is the Royal Proclamation based on the structure of feudal land tenure? 
royal-proclamation,stcatherines,What roles does the Royal Proclamation play in the courts' reasoning in this case? 
royal-proclamation,syliboy,The Royal Proclamation also plays an important role in the Syliboy case. How does the judge in this case use it to deny the existence and application of Grand Chief Syliboy's treaty rights? 
wildlife,locke,"The statute here refers to a ""state of nature"". What role does this ""state of nature"" play in Locke's theory of possession as the basis for property? Are these meanings the same?"
wildlife,simon,How should we understand the application of the Wildlife Act in circumstances where Mi'kmaq are exercising their treaty rights?
wills-act,conveyancing-act,How do the rules of interpretation in the Wills Act and the Conveyancing Act differ? Do these difference matter?
committee,harrison,How is the type of property (public/private) at issue here different or the same as property in Harrison v Carswell? Why does this matter?
harrison,committee,How is the type of property (public/private) at issue here different or the same as property in the Committee for the Commonwealth case?  Why does this matter for our weekyl problem?
pierson,locke,How does Locke's theory of posession and property underlie the reasoning (of both judges) in this case?
pierson,keron,"Are there alternative resolutions to this dispute that the judges fail to consider? For example, how might the resolution in Keron v Cashman apply?"
simon,henderson,"There appears to be a tension, if not outright disagreement, about the legal role and significance of the 1752 Treaty between the Court in R v Simon and Professor Henderson's description. What is this disagreement? "
simon,wildlife,How should we understand the application of the Wildlife Act in circumstances where Mi'kmaq are exercising their treaty rights?
henderson,simon,Would Professor Henderson agree or disagree with the Court's treatment of the 1752 Treaty in Simon? Where does Professor Henerson differ from the Court in how he urges us to think about the nature of this and other treaties? 
henderson,battiste,Some of the legal concepts of Mi'kmaw land tenure introduced here are elaborated by Professor Battiste in this excerpt on netukulimk.
